HomeOwnerFlag,YearlyIncome,AveMonthSpend,BikeBuyer,CountryRegionName_In_Europe,Education_Below_Bachelors,Occupation_Clerical_Manual,Occupation_Management_Professional,Gender_M,MaritalStatus_S,NumberCarsOwned_3_Or_More,NumberChildrenAtHome_2_Or_More
0,239.0334704596827,4.406719247264253,1,1,0,1,0,1,1,0,0
0,155.13220168617474,3.6109179126442243,0,1,0,1,0,0,1,0,0
1,352.90083592986855,4.787491742782046,1,0,0,1,0,1,1,0,1
0,295.5148050436729,3.7612001156935624,0,0,0,0,1,0,1,0,0
0,166.19867628835075,4.276666119016055,1,1,1,1,0,1,1,0,0
1,345.1825603937719,4.68213122712422,0,1,1,0,1,1,0,0,1
1,407.2087916536184,4.990432586778736,1,1,0,0,1,1,0,1,1
1,299.54799281584246,4.189654742026425,0,0,0,0,1,0,0,0,1
1,349.3579825909235,4.770684624465665,1,0,1,0,1,1,0,0,1
1,319.5747173979819,4.394449154672439,0,0,0,1,0,0,0,0,1
1,239.88122060719968,4.04305126783455,0,1,0,1,0,0,0,0,0
0,267.26204369494747,3.9318256327243257,0,0,0,0,1,0,1,0,0
1,270.5346558206545,4.04305126783455,1,0,0,0,1,0,0,0,0
1,330.06817477606046,4.330733340286331,1,1,1,0,1,0,0,0,1
0,297.16325479439746,4.204692619390966,0,0,0,0,1,1,1,1,0
0,146.87409574189726,4.04305126783455,0,1,1,1,0,1,1,0,0
1,373.36577240020273,4.356708826689592,0,0,0,0,1,1,1,0,0
0,351.47688401941883,4.983606621708336,1,0,1,0,1,1,1,1,1
0,223.72080815158878,3.784189633918261,0,0,1,1,0,0,1,0,0
1,265.26778922439865,4.204692619390966,1,0,1,0,1,0,1,0,1
0,134.17153200288055,4.174387269895637,1,1,1,1,0,1,1,0,0
1,323.93826572357887,4.718498871295094,1,0,0,0,1,1,0,0,1
1,325.7483691440373,3.970291913552122,0,1,0,0,1,0,0,0,0
1,341.49377739572355,4.882801922586371,1,0,0,0,1,1,1,0,1
1,326.9174207655505,4.382026634673881,1,0,1,1,0,1,1,0,0
0,370.80183386817276,4.48863636973214,1,1,1,0,1,0,1,1,1
1,329.14586432158006,4.3694478524670215,1,0,0,0,1,1,1,0,0
1,282.32605264126795,3.9512437185814275,0,0,1,1,0,0,1,0,0
1,312.8545988154881,4.983606621708336,1,0,1,1,0,1,0,0,1
1,394.3602414037196,4.997212273764115,1,1,1,0,1,1,0,1,1
0,376.4133366393917,4.07753744390572,0,0,0,0,1,0,1,0,0
1,151.6443206981389,3.7612001156935624,0,1,1,1,0,0,0,0,0
1,331.3864813175094,3.9889840465642745,0,0,0,0,1,0,0,0,0
0,144.703144402601,3.5553480614894135,0,1,1,1,0,0,1,0,0
1,282.38626028898784,4.248495242049359,1,0,0,1,0,0,1,0,1
0,339.82201223581734,4.653960350157523,1,0,0,0,1,0,0,1,1
1,300.0133330370502,4.127134385045092,0,0,0,0,1,0,1,0,1
1,349.6312343026578,4.418840607796598,0,0,0,0,1,1,0,0,0
0,293.16207121658834,4.2626798770413155,0,0,1,1,0,1,1,0,0
1,228.04824051064284,4.3694478524670215,0,0,1,1,0,1,0,0,0
1,351.6418632643161,4.382026634673881,0,0,0,0,1,1,0,0,0
